execution_platform,execution_gpu,backend,os,workload_groups,values,representation,bc,bf,representation_source_platform,fp32_median_ms,identity_median_ms,mapped_median_ms,mapped_vs_fp32_median_percent,ci95_low_percent,ci95_high_percent,ci_crosses_zero,raw_block_count,status,scope
RTX4060TI_WINDOWS,NVIDIA GeForce RTX 4060 Ti,NVIDIA_CUDA,Windows; version not verified,4194304,134217728,rep_0026,22,10,AMD_ROCm,2.4198187255859374,2.416408462524414,2.4182059478759763,0.15923954594816436,-0.40365875402060825,0.47114542125570946,true,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
RTX4060TI_WINDOWS,NVIDIA GeForce RTX 4060 Ti,NVIDIA_CUDA,Windows; version not verified,4194304,134217728,rep_0027,26,6,AMD_ROCm,2.4320614624023436,2.421485290527344,2.4237703704833984,0.04422566699051611,-1.0113077755222522,0.4300989853432524,true,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
AMD_GFX942,AMD gfx942-class accelerator,AMD_ROCm,Linux; distribution unverified,4194304,134217728,rep_0008,14,18,H800_CUDA,0.8302924346923828,1.0446935272216797,2.200711212158203,165.06720312877817,165.00250617537415,165.07568041756588,false,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
AMD_GFX942,AMD gfx942-class accelerator,AMD_ROCm,Linux; distribution unverified,4194304,134217728,rep_0025,19,13,AMD_ROCm,0.8390695190429687,1.054139404296875,2.202829818725586,162.5547516005853,162.51509530814886,162.58866674582464,false,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
AMD_GFX942,AMD gfx942-class accelerator,AMD_ROCm,Linux; distribution unverified,4194304,134217728,rep_0026,22,10,AMD_ROCm,0.8496859741210937,1.0525553131103516,2.1835594177246094,156.96300501277918,156.94021892090356,157.01219483452525,false,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
AMD_GFX942,AMD gfx942-class accelerator,AMD_ROCm,Linux; distribution unverified,4194304,134217728,rep_0027,26,6,AMD_ROCm,0.8308322906494141,1.0343091583251953,2.1185121154785156,154.97386259836165,154.85095572634603,155.0740085346401,false,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
H800_CUDA,NVIDIA H800 PCIe,NVIDIA_CUDA,Ubuntu 22.04.5; Linux 5.15.0-78-generic (author record),4194304,134217728,rep_0008,14,18,H800_CUDA,0.37861583709716795,0.3815774345397949,0.44209663391113285,16.78304469531515,16.703418696791793,16.84969403817991,false,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
H800_CUDA,NVIDIA H800 PCIe,NVIDIA_CUDA,Ubuntu 22.04.5; Linux 5.15.0-78-generic (author record),4194304,134217728,rep_0025,19,13,AMD_ROCm,0.37850816726684566,0.3813742446899414,0.426014404296875,12.550879314296704,12.53887315400708,12.55801148490201,false,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
H800_CUDA,NVIDIA H800 PCIe,NVIDIA_CUDA,Ubuntu 22.04.5; Linux 5.15.0-78-generic (author record),4194304,134217728,rep_0026,22,10,AMD_ROCm,0.3784424018859863,0.38130624771118166,0.41976144790649417,10.920462148155362,10.872688930736185,10.995703129900258,false,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
H800_CUDA,NVIDIA H800 PCIe,NVIDIA_CUDA,Ubuntu 22.04.5; Linux 5.15.0-78-generic (author record),4194304,134217728,rep_0027,26,6,AMD_ROCm,0.37834463119506834,0.3813636779785156,0.3845772933959961,1.6401630788414279,1.618926411395738,1.6632457401399625,false,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
