metric_id,category,model,platform,encoding,experiment,metric,value,unit,sample_count,event_count,CI_low,CI_high,source_evidence_id,source_file,source_field,paper_section,table_figure_target,safe_interpretation,limitations
M3D-TOP8,HBM2,HBM2 corpus,CPU,n/a,M3D,top8_position_mass,0.4761350711,fraction,6,892901974,,,E-M3D,M3D authoritative aggregate,top8_mass,4.3,Table 2/Fig 2,Top eight logical positions account for this corpus mass,Union data cannot infer simultaneous multibit probability
M3D-RHO,HBM2,HBM2 corpus,CPU,n/a,M3D,cross_chip_spearman_mean,0.9475562072,rho,6,892901974,,,E-M3D,M3D authoritative aggregate,spearman_mean,4.3,Table 2,High cross-chip rank concordance,Corpus characterization only
M3F-H2D,Mapping,frozen reps,CPU,HA-FBMS,M3F-R1,HBM_to_DDR_transfer_ratio_mean,1.00644782,domain-relative ratio,44,,,,E-M3D,M3F-R1 summary,hbm_to_ddr_ratio_mean,4.3,Table 3/Fig 3,HBM-derived mapping transfers near DDR-native reference on average,No absolute DDR/HBM objective comparison
M3F-D2H,Mapping,frozen reps,CPU,HA-FBMS,M3F-R1,DDR_to_HBM_transfer_ratio_mean,2.90789646,domain-relative ratio,44,,,,E-M3D,M3F-R1 summary,ddr_to_hbm_ratio_mean,4.3,Table 3/Fig 3,DDR-derived mapping is worse relative to HBM-native reference,Domain-relative ratios only
M3G-MAX,Mapping,selected reps,CPU,HA-FBMS,M3G,selected_max_reference_ratio_mean,1.00167557,domain-relative ratio,8,,,,E-M3D,M3G authoritative summary,selected_max_ref_ratio_mean,4.3,Table 3/Fig 3,Minimax-selected mappings stay close to per-domain references on average,Local-search result; no global optimum
PLAT-RTX5080-REP0008,Platform,REP0008,RTX5080,HA-FBMS mapped,P1E/P1F/P2C,mapped_vs_FP32_median_percent,-1.0226274220137777,percent,15,1500,-2.186483012654916,1.7472397737941403,E-P1E-5080,p1e_summary.csv,mapped_vs_fp32_median_percent,4.4,Table 4/Fig 4,CI crosses zero; no measurable additional latency in this kernel microbenchmark,Kernel microbenchmark; not end-to-end LLM latency; negative estimate is not acceleration
PLAT-RTX5080-REP0025,Platform,REP0025,RTX5080,HA-FBMS mapped,P1E/P1F/P2C,mapped_vs_FP32_median_percent,-0.22402564515658918,percent,15,1500,-1.063779938861642,0.5123306137007733,E-P1E-5080,p1e_summary.csv,mapped_vs_fp32_median_percent,4.4,Table 4/Fig 4,CI crosses zero; no measurable additional latency in this kernel microbenchmark,Kernel microbenchmark; not end-to-end LLM latency; negative estimate is not acceleration
PLAT-RTX5080-REP0026,Platform,REP0026,RTX5080,HA-FBMS mapped,P1E/P1F/P2C,mapped_vs_FP32_median_percent,-0.17161444910840373,percent,15,1500,-0.6610341906808204,0.9624371815725175,E-P1E-5080,p1e_summary.csv,mapped_vs_fp32_median_percent,4.4,Table 4/Fig 4,CI crosses zero; no measurable additional latency in this kernel microbenchmark,Kernel microbenchmark; not end-to-end LLM latency; negative estimate is not acceleration
PLAT-RTX5080-REP0027,Platform,REP0027,RTX5080,HA-FBMS mapped,P1E/P1F/P2C,mapped_vs_FP32_median_percent,-0.013033242662352507,percent,15,1500,-0.7243110554233989,0.29982630615288386,E-P1E-5080,p1e_summary.csv,mapped_vs_fp32_median_percent,4.4,Table 4/Fig 4,CI crosses zero; no measurable additional latency in this kernel microbenchmark,Kernel microbenchmark; not end-to-end LLM latency; negative estimate is not acceleration
PLAT-RTX4060Ti-REP0008,Platform,REP0008,RTX4060Ti,HA-FBMS mapped,P1E/P1F/P2C,mapped_vs_FP32_median_percent,0.005121405409647117,percent,15,1500,-0.3782595015195511,0.42912113607589397,E-P1F-4060,p1e_summary.csv,mapped_vs_fp32_median_percent,4.4,Table 4/Fig 4,CI crosses zero; no measurable additional latency in this kernel microbenchmark,Kernel microbenchmark; not end-to-end LLM latency; negative estimate is not acceleration
PLAT-RTX4060Ti-REP0025,Platform,REP0025,RTX4060Ti,HA-FBMS mapped,P1E/P1F/P2C,mapped_vs_FP32_median_percent,-0.01925678060019642,percent,15,1500,-0.3069289747184123,0.48595060064542395,E-P1F-4060,p1e_summary.csv,mapped_vs_fp32_median_percent,4.4,Table 4/Fig 4,CI crosses zero; no measurable additional latency in this kernel microbenchmark,Kernel microbenchmark; not end-to-end LLM latency; negative estimate is not acceleration
PLAT-RTX4060Ti-REP0026,Platform,REP0026,RTX4060Ti,HA-FBMS mapped,P1E/P1F/P2C,mapped_vs_FP32_median_percent,0.15923954594816436,percent,15,1500,-0.40365875402060825,0.47114542125570946,E-P1F-4060,p1e_summary.csv,mapped_vs_fp32_median_percent,4.4,Table 4/Fig 4,CI crosses zero; no measurable additional latency in this kernel microbenchmark,Kernel microbenchmark; not end-to-end LLM latency; negative estimate is not acceleration
PLAT-RTX4060Ti-REP0027,Platform,REP0027,RTX4060Ti,HA-FBMS mapped,P1E/P1F/P2C,mapped_vs_FP32_median_percent,0.04422566699051611,percent,15,1500,-1.0113077755222522,0.4300989853432524,E-P1F-4060,p1e_summary.csv,mapped_vs_fp32_median_percent,4.4,Table 4/Fig 4,CI crosses zero; no measurable additional latency in this kernel microbenchmark,Kernel microbenchmark; not end-to-end LLM latency; negative estimate is not acceleration
PLAT-AMDgfx942-REP0008,Platform,REP0008,AMD gfx942,HA-FBMS mapped,P1E/P1F/P2C,mapped_vs_FP32_median_percent,165.06720312877817,percent,15,1500,165.00250617537415,165.07568041756588,E-P2C-AMD,p2c_summary.csv,mapped_vs_fp32_median_percent,4.4,Table 4/Fig 4,"Functional portability passes, but performance portability is not demonstrated",Kernel microbenchmark; not end-to-end LLM latency; negative estimate is not acceleration
PLAT-AMDgfx942-REP0025,Platform,REP0025,AMD gfx942,HA-FBMS mapped,P1E/P1F/P2C,mapped_vs_FP32_median_percent,162.5547516005853,percent,15,1500,162.51509530814886,162.58866674582464,E-P2C-AMD,p2c_summary.csv,mapped_vs_fp32_median_percent,4.4,Table 4/Fig 4,"Functional portability passes, but performance portability is not demonstrated",Kernel microbenchmark; not end-to-end LLM latency; negative estimate is not acceleration
PLAT-AMDgfx942-REP0026,Platform,REP0026,AMD gfx942,HA-FBMS mapped,P1E/P1F/P2C,mapped_vs_FP32_median_percent,156.96300501277918,percent,15,1500,156.94021892090356,157.01219483452525,E-P2C-AMD,p2c_summary.csv,mapped_vs_fp32_median_percent,4.4,Table 4/Fig 4,"Functional portability passes, but performance portability is not demonstrated",Kernel microbenchmark; not end-to-end LLM latency; negative estimate is not acceleration
PLAT-AMDgfx942-REP0027,Platform,REP0027,AMD gfx942,HA-FBMS mapped,P1E/P1F/P2C,mapped_vs_FP32_median_percent,154.97386259836165,percent,15,1500,154.85095572634603,155.0740085346401,E-P2C-AMD,p2c_summary.csv,mapped_vs_fp32_median_percent,4.4,Table 4/Fig 4,"Functional portability passes, but performance portability is not demonstrated",Kernel microbenchmark; not end-to-end LLM latency; negative estimate is not acceleration
MODEL-Llama-3.1-8B-SCALES,Model,Llama-3.1-8B,model evidence,HA-FBMS,P3/P4/P7,scale_count,276480,scales,276480,,,,E-P6B2,FINAL_MODEL_SCALEUP_TABLE.csv,scale_count,4.5/4.8,Table 5/Fig 5,Calibrated scale population,Model-calibrated instance; not exact N3 representation
MODEL-Llama-3.1-8B-BMAX,Fault semantics,Llama-3.1-8B,model evidence,Binary32-Z,P6B2/P7B-R2/P7D1,max_amplification,256.0000003305187,ratio,96,,,,E-P6B2,FINAL_MODEL_SCALEUP_TABLE.csv,Binary32_max_A,4.7/4.8,Table 6/Fig 6,Corrected Binary32-Z screen maximum,Logical fault screen; not hardware BER
MODEL-Llama-3.1-8B-BTOP1,Full-cache,Llama-3.1-8B,model evidence,Binary32-Z,P6B2/P7D1,top1_changes,0,count,96,,,,E-P6B2,FINAL_MODEL_SCALEUP_TABLE.csv,Binary32_top1_changes,4.7/4.8,Table 6/7,No top-1 changes observed in selected targets,Localized metadata fault injection and one-step replay
MODEL-Qwen3-14B-SCALES,Model,Qwen3-14B,model evidence,HA-FBMS,P3/P4/P7,scale_count,317440,scales,317440,,,,E-P6B2,FINAL_MODEL_SCALEUP_TABLE.csv,scale_count,4.5/4.8,Table 5/Fig 5,Calibrated scale population,Model-calibrated instance; not exact N3 representation
MODEL-Qwen3-14B-BMAX,Fault semantics,Qwen3-14B,model evidence,Binary32-Z,P6B2/P7B-R2/P7D1,max_amplification,256.0000003305185,ratio,96,,,,E-P6B2,FINAL_MODEL_SCALEUP_TABLE.csv,Binary32_max_A,4.7/4.8,Table 6/Fig 6,Corrected Binary32-Z screen maximum,Logical fault screen; not hardware BER
MODEL-Qwen3-14B-BTOP1,Full-cache,Qwen3-14B,model evidence,Binary32-Z,P6B2/P7D1,top1_changes,2,count,96,,,,E-P6B2,FINAL_MODEL_SCALEUP_TABLE.csv,Binary32_top1_changes,4.7/4.8,Table 6/7,2 top-1 changes observed in selected targets,Localized metadata fault injection and one-step replay
MODEL-Qwen3-32B-SCALES,Model,Qwen3-32B,model evidence,HA-FBMS,P3/P4/P7,scale_count,507904,scales,507904,,,,E-P7,FINAL_MODEL_SCALEUP_TABLE.csv,scale_count,4.5/4.8,Table 5/Fig 5,Calibrated scale population,Model-calibrated instance; not exact N3 representation
MODEL-Qwen3-32B-BMAX,Fault semantics,Qwen3-32B,model evidence,Binary32-Z,P6B2/P7B-R2/P7D1,max_amplification,512.0000007436676,ratio,24,,,,E-P7,FINAL_MODEL_SCALEUP_TABLE.csv,Binary32_max_A,4.7/4.8,Table 6/Fig 6,Corrected Binary32-Z screen maximum,Logical fault screen; not hardware BER
MODEL-Qwen3-32B-BTOP1,Full-cache,Qwen3-32B,model evidence,Binary32-Z,P6B2/P7D1,top1_changes,0,count,24,,,,E-P7,FINAL_MODEL_SCALEUP_TABLE.csv,Binary32_top1_changes,4.7/4.8,Table 6/7,No top-1 changes observed in selected targets,Localized metadata fault injection and one-step replay
Q32-HA-MAX,Fault semantics,Qwen3-32B,model evidence,HA-FBMS,P7A-R1/P7D1,max_amplification,1.8660659830736155,ratio,24,,,,E-P7,FINAL_MODEL_SCALEUP_TABLE.csv,HA_max_A,4.8,Table 5/6,Observed HA-FBMS maximum below 2,Selected logical fault targets
Q32-HA-KL,Full-cache,Qwen3-32B,model evidence,HA-FBMS,P7D1,fault_max_KL,0.0015947017818689346,KL,24,,,,E-P7,FINAL_MODEL_SCALEUP_TABLE.csv,fault_HA_max_KL,4.8,Table 7,Maximum KL under selected localized faults,One-step replay; target selection independent of P7D1 results
Q32-CLEAN-TOP1,Full-cache,Qwen3-32B,model evidence,HA-FBMS,P7C,clean_top1_changes,0,count,8,,,,E-P7,FINAL_MODEL_SCALEUP_TABLE.csv,clean_full_cache_top1_changes,4.6/4.8,Table 7,No clean top-1 changes in eight prompt rows,"One-step replay, not long-sequence generation"
Q14-BZ-GLOBAL-N,Full-cache fault semantics,Qwen3-14B,H800 evidence,Binary32-Z,P6B2 corrected,global_target_count,96,targets,96,,,,E-P6B2,P6B2_CORRECTED_BINARY32Z_20260904_021527/freeze/p6b2_corrected_binary_summary.csv,GLOBAL.n,4.9/5.7,Table 6,Ninety-six frozen targets were evaluated,Selected localized metadata faults; not a random fault process
Q14-BZ-GLOBAL-TOP1,Full-cache fault semantics,Qwen3-14B,H800 evidence,Binary32-Z,P6B2 corrected,global_top1_changes,2,count,96,,,,E-P6B2,P6B2_CORRECTED_BINARY32Z_20260904_021527/freeze/p6b2_corrected_binary_summary.csv,GLOBAL.top1_changes,4.9/5.7,Table 6,Two selected targets changed top-1,Do not infer an event probability
Q14-BZ-GLOBAL-MEAN-KL,Full-cache fault semantics,Qwen3-14B,H800 evidence,Binary32-Z,P6B2 corrected,global_mean_KL,0.20652067476465608,KL,96,,,,E-P6B2,P6B2_CORRECTED_BINARY32Z_20260904_021527/freeze/p6b2_corrected_binary_summary.csv,GLOBAL.mean_kl,4.9/5.7,Table 6,Mean is elevated by rare large responses,Heavy-tailed; never report mean alone
Q14-BZ-GLOBAL-MEDIAN-KL,Full-cache fault semantics,Qwen3-14B,H800 evidence,Binary32-Z,P6B2 corrected,global_median_KL,0.0,KL,96,,,,E-P6B2,P6B2_CORRECTED_BINARY32Z_20260904_021527/freeze/p6b2_corrected_binary_summary.csv,GLOBAL.median_kl,4.9/5.7,Table 6,The typical selected target had zero observed KL,Report with p95 and maximum
Q14-BZ-GLOBAL-P95-KL,Full-cache fault semantics,Qwen3-14B,H800 evidence,Binary32-Z,P6B2 corrected,global_p95_KL,0.00041855545714497566,KL,96,,,,E-P6B2,P6B2_CORRECTED_BINARY32Z_20260904_021527/freeze/p6b2_corrected_binary_summary.csv,GLOBAL.p95_kl,4.9/5.7,Table 6,Ninety-fifth percentile remains small,Report with median and maximum
Q14-BZ-GLOBAL-MAX-KL,Full-cache fault semantics,Qwen3-14B,H800 evidence,Binary32-Z,P6B2 corrected,global_max_KL,11.833429336547852,KL,96,,,,E-P6B2,P6B2_CORRECTED_BINARY32Z_20260904_021527/freeze/p6b2_corrected_binary_summary.csv,GLOBAL.max_kl,4.9/5.7,Table 6,A rare extreme response produces a heavy tail,Maximum is not representative of the typical target
Q14-BZ-GLOBAL-MAX-A,Full-cache fault semantics,Qwen3-14B,H800 evidence,Binary32-Z,P6B2 corrected,global_max_amplification,256.0000003305185,ratio,96,,,,E-P6B2,P6B2_CORRECTED_BINARY32Z_20260904_021527/freeze/p6b2_corrected_binary_summary.csv,GLOBAL.max_a,4.9/5.7,Table 6,Corrected Binary32-Z reaches approximately 256×,Logical selected-fault screen; not hardware BER
Q14-BZ-HIGH-N,Full-cache fault semantics,Qwen3-14B,H800 evidence,Binary32-Z,P6B2 corrected,high_severity_target_count,32,targets,32,,,,E-P6B2,P6B2_CORRECTED_BINARY32Z_20260904_021527/freeze/p6b2_corrected_binary_summary.csv,HIGH.n,4.9/5.7,Table 6,High-severity stratum contains 32 targets,Stratified selected targets
Q14-BZ-HIGH-MEDIAN-KL,Full-cache fault semantics,Qwen3-14B,H800 evidence,Binary32-Z,P6B2 corrected,high_severity_median_KL,3.864366590278223e-06,KL,32,,,,E-P6B2,P6B2_CORRECTED_BINARY32Z_20260904_021527/freeze/p6b2_corrected_binary_summary.csv,HIGH.median_kl,4.9/5.7,Table 6,High-severity median remains small,Report with p95 and maximum
Q14-BZ-HIGH-P95-KL,Full-cache fault semantics,Qwen3-14B,H800 evidence,Binary32-Z,P6B2 corrected,high_severity_p95_KL,3.601666056364769,KL,32,,,,E-P6B2,P6B2_CORRECTED_BINARY32Z_20260904_021527/freeze/p6b2_corrected_binary_summary.csv,HIGH.p95_kl,4.9/5.7,Table 6,High-severity upper tail is material,Selected stratum only
Q14-BZ-HIGH-MAX-KL,Full-cache fault semantics,Qwen3-14B,H800 evidence,Binary32-Z,P6B2 corrected,high_severity_max_KL,11.833429336547852,KL,32,,,,E-P6B2,P6B2_CORRECTED_BINARY32Z_20260904_021527/freeze/p6b2_corrected_binary_summary.csv,HIGH.max_kl,4.9/5.7,Table 6,Same rare maximum appears in high severity,Maximum does not describe central tendency
